measure_name
dcst_pctile
dcst_raw_score
flanker_pctile
flanker_raw_score
matreason_acc
matreason_rt
odst_pctile
odst_raw_score
spatial_rel_acc
spatial_rel_rt
spatialwm_2item_acc
spatialwm_2item_rt
spatialwm_3item_acc
spatialwm_3item_rt
spatialwm_4item_acc
spatialwm_4item_rt
stroop_congruent_acc
stroop_congruent_rt
stroop_incongruent_acc
stroop_incongruent_rt
stroop_neutral_acc
stroop_neutral_rt
taskswitch_lohi_acc
taskswitch_lohi_rt
taskswitch_odev_acc
taskswitch_odev_rt
taskswitch_repeat_acc
taskswitch_repeat_rt
taskswitch_switch_acc
taskswitch_switch_rt
